College
IIT Madras - Indian Institute of Technology
IIT Delhi - Indian Institute of Technology
IIT Bombay - Indian Institute of Technology
IIT Kanpur - Indian Institute of Technology
IIT Kharagpur - Indian Institute of Technology
IIT Roorkee - Indian Institute of Technology
IIT Guwahati - Indian Institute of Technology
IIT Hyderabad - Indian Institute of Technology
NIT Trichy - National Institute of Technology
"Indian Institute of Technology, BHU, Varanasi"
VIT Vellore
Jadavpur University
"SRM Institute of Science and Technology, Kattankulathur"
"College of Engineering, Anna University"
IIT Dhanbad (ISM) - Indian Institute of Technology (ISM)
IIT Indore - Indian Institute of Technology
NIT Surathkal - National Institute of Technology
IIT Gandhinagar - Indian Institute of Technology
NIT Rourkela - National Institute of Technology
BITS Pilani - Birla Institute of Technology and Science
NIT Warangal - National Institute of Technology
IIT Ropar - Indian Institute of Technology
Jamia Millia Islamia
NIT Calicut - National Institute of Technology
SOA University - Siksha 'O' Anusandhan
DTU - Delhi Technological University
IIT Jodhpur - Indian Institute of Technology
Thapar University
"Amity University, Noida"
IIT Mandi - Indian Institute of Technology
Chandigarh University (CU)
IIT Patna - Indian Institute of Technology
KL (Deemed to be University)
Kalasalingam Academy of Research and Education
SASTRA (Deemed to be University)
VNIT Nagpur - Visvesvaraya National Institute of Technology
NIT Silchar - National Institute of Technology
"Institute of Chemical Technology, Mumbai"
UPES
MNIT Jaipur - Malaviya National Institute of Technology
NIT Durgapur - National Institute of Technology
NIT Delhi - National Institute of Technology
SSN College of Engineering
"International Institute of Information Technology, Hyderabad"
"Birla Institute of Technology, Mesra"
IIEST Shibpur - Indian Institute of Engineering Science and Technology
LPU - Lovely Professional University
IIST - Indian Institute of Space Science and Technology
Graphic Era Deemed to be University
"Saveetha Institute of Medical and Technical Sciences, Poonamallee"
IIT Bhubaneswar - Indian Institute of Technology
NIT Patna - National Institute of Technology
Netaji Subhas University of Technology
"National Institute of Technology, Jalandhar"
"Sardar Vallabhbhai National Institute of Technology, Surat"
MNNIT Allahabad - Motilal Nehru National Institute of Technology
IIT Tirupati - Indian Institute of Technology
IIT Jammu - Indian Institute of Technology
"Manipal University, Jaipur"
IIT Palakkad - Indian Institute of Technology
Sathyabama Institute of Science and Technology
PSGCT Coimbatore
NIT Meghalaya - National Institute of Technology
Visvesvaraya Technological University
UoH - University of Hyderabad
NIT Raipur - National Institute of Technology
MANIT - Maulana Azad National Institute of Technology
IIT Bhilai - Indian Institute of Technology
"International Institute of Information Technology, Bangalore"
Ramaiah Institute of Technology
Sant Longowal Institute of Engineering and Technology
"College of Engineering, Pune"
Banasthali Vidyapith
NIT Srinagar - National Institute of Technology
Rajiv Gandhi Institute of Petroleum Technology
NIT Kurukshetra - National Institute of Technology
NIT Agartala - National Institute of Technology
SKCET - Sri Krishna College of Engineering and Technology
Madan Mohan Malviya University of Technology
IIIT Delhi - Indraprastha Institute of Information Technology
Vel Tech Rangarajan Dr. Sagunthala R and D Institute of Science and Technology
IIIT Allahabad - Indian Institute of Information Technology
Guru Gobind Singh Indraprastha University
"Andhra University College of Engineering , Andhra University, Visakhapatnam"
"Vignan's Foundation for Science, Technology and Research"
Shoolini University
Christ - Kengeri Campus
"Chitkara University, Chandigarh"
"Jain Deemed-to-be University, Bangalore"
C. V. Raman Global University
NIT Puducherry - National Institute of Technology
SR University
R.V. College of Engineering
Siddaganga Institute of Technology
"Amity University, Kolkata"
"Amity University, Gurugram"
"Amity University, Jaipur"
Atal Bihari Vajpayee Indian Institute of Information Technology and Management
"Chandigarh Group of Colleges, Landran"
Chennai Institute of Technology
Coimbatore Institute of Technology
"College of Engineering, Trivandrum"
MIT-WPU
Galgotias University
"GITAM School of Technology, Visakhapatnam"
GRIET Hyderabad
Hindustan Institute of Technology and Science
IIITDM Kancheepuram - Indian Institute of Information Technology Design & Manufacturing
IIT Dharwad - Indian Institute of Technology
"Jawaharlal Nehru Technological University, Kakinada"
Jaypee Institute of Information Technology
Karunya Institute of Technology and Sciences
KEC - Kongu Engineering College
KPR Institute of Engineering and Technology
Mahindra University
Manav Rachna International Institute of Research & Studies
MAKAUT - Maulana Abul Kalam Azad University of Technology
Mepco Schlenk Engineering College
NIT Arunachal Pradesh - National Institute of Technology
NIT Goa - National Institute of Technology
NIT Hamirpur - National Institute of Technology
NIT Manipur - National Institute of Technology
NIT Mizoram - National Institute of Technology
"National Institute of Technology, Uttarakhand"
NIT Jamshedpur - National Institute of Technology
NITTE Meenakshi Institute of Technology
Noida Institute of Engineering and Technology (NIET)
IIITDM Jabalpur - Indian Institute of Information Technology Design and Manufacturing
Panjab University
PES University
PSG Institute of Technology and Applied Research
"Punjab Engineering College, Chandigarh"
Rajalakshmi Engineering College
Sharda University
Sri Sairam Engineering College
The NorthCap University
Thiagarajar College of Engineering
"University College of Engineering, Adikavi Nannaya University"
Veermata Jijabai Technological Institute - VJTI Mumbai
"VELS Institute of Science, Technology and Advanced Studies (VISTAS)"
Annamalai University
Crescent School of Life Sciences (B.S.Abdur Rahman University)
Anurag University
BMS College of Engineering
Vishwakarma Institute of Information Technology
Bharati Vidyapeeths College of Engineering
"CMR Institute of Technology, Bangalore"
"Chaitanya Bharathi Institute of Technology, Hyderabad"
CVR College of Engineering
Dayalbagh Educational Institute [DEI]
Dr. D. Y. Patil Institute Of Technology
SRM Easwari Engineering College
"G.H. Raisoni College of Engineering, Nagpur"
GLA University
G.L. Bajaj Institute of Technology and Management
"IIIT Guwahati - Indian Institute of Information Technology, Assam"
Indira Gandhi Delhi Technical University for Women (IGDTUW)
Institute of Aeronautical Engineering
Institute of Engineering and Management
"J. C. Bose University of Science and Technology, YMCA"
"Rajarshi Shahu College of Engineering, Pune"
KIET Group of Institutions
KLE Technological University
Kumaraguru College of Technology
"Maharishi Markandeshwar University, Mullana"
Maulana Azad National Urdu University
National Engineering College
National Institute of Advanced Manufacturing Technology
NIFTEM - National Institute of Food Technology Entrepreneurship and Management
NIT Nagaland - National Institute of Technology
NIT Sikkim - National Institute of Technology
NHCE Bangalore - New Horizon College of Engineering
NMAM Institute of Technology
North Eastern Regional Institute of Science and Technology
R.M.K. Engineering College
Rajalakshmi Institute of Technology
Shri Mata Vaishno Devi University
Sona College of Technology
Sri Krishna College of Technology [SKCT]
Sri Ramakrishna Engineering College
Sri Venkateswara College of Engineering
Tezpur University
The National Institute of Engineering
VNR Vignana Jyothi Institute of Engineering and Technology
Vardhaman College of Engineering
Veer Surendra Sai University of Technology
